日期,预测值_x,真实值_x,误差_x,标签,真实值_y,预测值_y,误差_y
1/28/17,937.42,920.31225,17.10775000000001,1,,,
1/29/17,939.67,915.933,23.736999999999966,1,,,
1/30/17,941.73,912.19,29.539999999999964,0,1192.8,1139.823364429113,52.976635570886856
1/31/17,943.63,964.706075,21.07607500000006,0,1212.8,1140.8949920993732,71.90500790062674
2/1/17,946.94,979.703875,32.763874999999985,0,1203.65,1142.7494523034527,60.90054769654739
2/2/17,950.58,983.42,32.83999999999992,0,1221.95,1144.1080543000776,77.84194569992246
2/3/17,954.22,1013.027,58.807000000000016,0,1215.2,1146.1347493698238,69.06525063017625
2/4/17,958.58,1030.999413,72.41941299999996,1,,,
2/5/17,963.31,1034.07,70.75999999999999,1,,,
2/6/17,968.01,1024.01375,56.00375000000008,0,1226.75,1145.562292897232,81.18770710276794
2/7/17,972.31,1050.11,77.79999999999995,0,1231.0,1147.781148455458,83.21885154454208
2/8/17,977.2,1052.84,75.63999999999987,0,1242.1,1150.0458699283142,92.05413007168568
2/9/17,982.05,976.103,5.947000000000003,0,1236.8,1152.6243142120675,84.17568578793248
2/10/17,984.75,999.1035,14.353500000000054,0,1228.3,1154.8643799791776,73.4356200208224
2/11/17,987.98,997.59,9.610000000000014,1,,,
2/12/17,991.09,1000.604625,9.514625000000024,1,,,
2/13/17,994.19,999.877375,5.6873749999999745,0,1222.25,1154.7716747716195,67.47832522838053
2/14/17,997.2,1001.2,4.0,0,1230.75,1156.4247730053164,74.32522699468359
2/15/17,1000.17,1012.325988,12.155988000000093,0,1224.4,1158.3115718737308,66.08842812626926
2/16/17,1003.34,1035.208125,31.868125000000077,0,1240.55,1159.8668627273441,80.68313727265581
2/17/17,1007.02,1035.2,28.180000000000064,0,1241.95,1161.932861831549,80.01713816845108
2/18/17,1010.6,1056.637138,46.03713800000003,1,,,
2/19/17,1014.62,1052.779286,38.15928599999995,1,,,
2/20/17,1018.46,1050.87,32.409999999999854,0,1237.3,1162.307968141135,74.99203185886495
2/21/17,1022.16,1123.788429,101.62842899999998,0,1233.2,1164.2214362567643,68.97856374323578
2/22/17,1027.55,1123.223188,95.67318799999998,0,1236.65,1165.8952426387252,70.75475736127487
2/23/17,1032.8,1130.01,97.21000000000004,0,1247.9,1167.610779502455,80.2892204975451
2/24/17,1038.09,1174.86625,136.77625000000012,0,1253.65,1169.636361915648,84.01363808435212
2/25/17,1044.34,1150.605714,106.26571400000012,1,,,
2/26/17,1049.88,1150.37,100.48999999999978,1,,,
2/27/17,1055.28,1190.75195,135.4719500000001,0,1257.2,1170.3623120474078,86.8376879525922
2/28/17,1061.52,1187.565286,126.04528600000003,0,1255.6,1172.6678175210072,82.93218247899267
3/1/17,1067.54,1190.89,123.35000000000014,0,1240.4,1174.8156534337684,65.58434656623172
3/2/17,1073.51,1259.410817,185.90081699999996,0,1238.1,1176.360356050725,61.73964394927498
3/3/17,1080.93,1285.14,204.21000000000004,0,1226.5,1177.7620770029166,48.73792299708339
3/4/17,1088.79,1287.0,198.21000000000004,1,,,
3/5/17,1096.52,1270.9333,174.41329999999994,1,,,
3/6/17,1103.73,1275.197375,171.46737499999995,0,1230.95,1177.521789490849,53.428210509151086
3/7/17,1110.88,1279.5,168.6199999999999,0,1216.65,1178.683162817797,37.96683718220311
