日期,标签,预测值,真实值,误差
10/12/18,0,6260.530833,10255.305677895416,3994.774844895416
10/13/18,1,6247.0,10247.85192700452,4000.85192700452
10/14/18,1,6299.399167,10240.352575455974,3940.9534084559746
10/15/18,0,6452.571667,10233.15310206605,3780.5814350660494
10/16/18,0,6599.17,10226.778689148794,3627.608689148794
10/17/18,0,6596.276154,10221.190186297652,3624.914032297652
10/18/18,0,6568.040769,10215.60338757199,3647.5626185719893
10/19/18,0,6509.61,10209.886319923255,3700.276319923255
10/20/18,1,6488.825833,10203.882706544484,3715.056873544484
10/21/18,1,6531.601667,10197.789812880008,3666.188145880008
10/22/18,0,6504.78,10191.937937908508,3687.157937908508
10/23/18,0,6481.426,10185.9650922326,3704.5390922325996
10/24/18,0,6508.31,10179.889947928066,3671.579947928066
10/25/18,0,6489.77,10173.972751609672,3684.2027516096714
10/26/18,0,6473.753333,10167.978163676555,3694.224830676555
10/27/18,1,6465.9175,10161.919663454424,3696.0021634544246
10/28/18,1,6457.21,10155.839759719896,3698.6297597198964
10/29/18,0,6382.668333,10149.734118319378,3767.065785319379
10/30/18,0,6309.452857,10143.26486697271,3833.8120099727093
10/31/18,0,6301.61,10136.440927881085,3834.8309278810857
11/1/18,0,6342.280833,10129.599183464441,3787.318350464441
11/2/18,0,6387.674167,10122.98791219357,3735.31374519357
11/3/18,1,6390.42,10116.629938732262,3726.2099387322614
11/4/18,1,6391.873333,10110.306243580359,3718.432910580359
11/5/18,0,6436.965,10104.010067504893,3667.0450675048924
11/6/18,0,6437.76,10097.96335409849,3660.2033540984903
11/7/18,0,6538.79,10091.939558036618,3553.149558036618
11/8/18,0,6486.251667,10086.447378121806,3600.1957111218053
11/9/18,0,6444.97,10080.705258082235,3635.7352580822344
11/10/18,1,6399.033333,10074.771639106944,3675.738306106944
11/11/18,1,6378.268333,10068.624092716786,3690.3557597167855
11/12/18,0,6408.53,10062.390986078392,3653.8609860783918
11/13/18,0,6372.063333,10056.330212371082,3684.266879371082
11/14/18,0,6176.155,10050.104654206101,3873.9496542061015
